rank,scats_site,total_volume,months_present,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band
2561,2960,89029295,147,2014-01,2026-04,605641.46,755295,2024-10,755295,0.016517,444008914969,82.373257,Bottom 50%
2562,397,88954425,147,2014-01,2026-04,605132.14,764723,2022-03,764723,0.016503,444097869394,82.38976,Bottom 50%
2563,4111,88939101,147,2014-01,2026-04,605027.9,720121,2024-05,720121,0.0165,444186808495,82.40626,Bottom 50%
2564,227,88843351,147,2014-01,2026-04,604376.54,814692,2018-05,814692,0.016482,444275651846,82.422742,Bottom 50%
2565,5659,88840248,127,2015-09,2026-04,699529.51,827686,2026-01,827686,0.016482,444364492094,82.439224,Bottom 50%
2566,3573,88837637,126,2015-10,2026-04,705060.61,835450,2019-10,835450,0.016481,444453329731,82.455706,Bottom 50%
2567,3482,88808431,147,2014-01,2026-04,604138.99,835334,2024-02,835334,0.016476,444542138162,82.472181,Bottom 50%
2568,240,88798220,147,2014-01,2026-04,604069.52,706657,2025-10,706657,0.016474,444630936382,82.488655,Bottom 50%
2569,3235,88774118,147,2014-01,2026-04,603905.56,713925,2018-05,713925,0.01647,444719710500,82.505125,Bottom 50%
2570,6412,88616630,147,2014-01,2026-04,602834.22,2793489,2024-08,2793489,0.01644,444808327130,82.521565,Bottom 50%
2571,4581,88589043,147,2014-01,2026-04,602646.55,756942,2019-08,756942,0.016435,444896916173,82.538,Bottom 50%
2572,2674,88565255,146,2014-01,2026-04,606611.34,766286,2018-03,766286,0.016431,444985481428,82.554431,Bottom 50%
2573,4457,88554138,147,2014-01,2026-04,602409.1,817776,2024-02,817776,0.016429,445074035566,82.57086,Bottom 50%
2574,1476,88438847,84,2019-05,2026-04,1052843.42,1272253,2025-10,1272253,0.016407,445162474413,82.587267,Bottom 50%
2575,5173,88389126,98,2014-05,2026-04,901929.86,1227402,2024-08,1227402,0.016398,445250863539,82.603665,Bottom 50%
2576,4799,88304326,147,2014-01,2026-04,600709.7,947754,2023-11,947754,0.016382,445339167865,82.620048,Bottom 50%
2577,4697,88267072,147,2014-01,2026-04,600456.27,822711,2024-10,822711,0.016375,445427434937,82.636423,Bottom 50%
2578,3860,88237495,147,2014-01,2026-04,600255.07,724692,2014-05,724692,0.01637,445515672432,82.652793,Bottom 50%
2579,1037,88236346,147,2014-01,2026-04,600247.25,1147464,2025-10,1147464,0.01637,445603908778,82.669163,Bottom 50%
2580,1522,88224499,142,2014-06,2026-04,621299.29,785312,2023-10,785312,0.016368,445692133277,82.68553,Bottom 50%
2581,3792,88173047,147,2014-01,2026-04,599816.65,810359,2017-08,810359,0.016358,445780306324,82.701888,Bottom 50%
2582,2669,88150236,120,2014-01,2024-10,734585.3,1437966,2021-12,1437966,0.016354,445868456560,82.718242,Bottom 50%
2583,6101,88131501,147,2014-01,2026-04,599534.02,696758,2023-12,696758,0.01635,445956588061,82.734592,Bottom 50%
2584,2566,87993554,128,2014-01,2026-04,687449.64,1902153,2026-03,1902153,0.016325,446044581615,82.750917,Bottom 50%
2585,249,87868091,147,2014-01,2026-04,597742.12,842203,2026-01,842203,0.016301,446132449706,82.767219,Bottom 50%
2586,3971,87830743,147,2014-01,2026-04,597488.05,1142464,2015-10,1142464,0.016295,446220280449,82.783513,Bottom 50%
2587,1116,87780343,98,2014-01,2023-10,895717.79,1141103,2021-12,1141103,0.016285,446308060792,82.799798,Bottom 50%
2588,2686,87778383,143,2014-01,2026-04,613834.85,784458,2023-11,784458,0.016285,446395839175,82.816083,Bottom 50%
2589,1566,87705610,133,2014-08,2026-04,659440.68,1124640,2025-10,1124640,0.016271,446483544785,82.832354,Bottom 50%
2590,4090,87647127,147,2014-01,2026-04,596238.96,807608,2014-03,807608,0.01626,446571191912,82.848615,Bottom 50%
2591,4150,87538563,147,2014-01,2026-04,595500.43,711264,2019-10,711264,0.01624,446658730475,82.864855,Bottom 50%
2592,787,87481295,147,2014-01,2026-04,595110.85,703055,2019-10,703055,0.01623,446746211770,82.881085,Bottom 50%
2593,4817,87468932,147,2014-01,2026-04,595026.75,709986,2014-10,709986,0.016227,446833680702,82.897312,Bottom 50%
2594,4851,87465602,147,2014-01,2026-04,595004.1,746023,2014-03,746023,0.016227,446921146304,82.913539,Bottom 50%
2595,212,87458137,141,2014-01,2026-04,620270.48,1003977,2024-12,1003977,0.016225,447008604441,82.929764,Bottom 50%
2596,4635,87415525,147,2014-01,2026-04,594663.44,698184,2014-10,698184,0.016217,447096019966,82.945982,Bottom 50%
2597,4828,87385953,132,2014-01,2026-04,662014.8,791808,2018-03,791808,0.016212,447183405919,82.962194,Bottom 50%
2598,453,87366263,147,2014-01,2026-04,594328.32,769721,2014-05,769721,0.016208,447270772182,82.978402,Bottom 50%
2599,2111,87323199,147,2014-01,2026-04,594035.37,769170,2017-12,769170,0.0162,447358095381,82.994602,Bottom 50%
2600,3291,87320529,147,2014-01,2026-04,594017.2,736531,2024-02,736531,0.0162,447445415910,83.010802,Bottom 50%
2601,2058,87255717,147,2014-01,2026-04,593576.31,680771,2019-05,680771,0.016188,447532671627,83.02699,Bottom 50%
2602,4906,87215898,147,2014-01,2026-04,593305.43,863312,2019-05,863312,0.01618,447619887525,83.043171,Bottom 50%
2603,106,87085942,147,2014-01,2026-04,592421.37,720002,2023-03,720002,0.016156,447706973467,83.059327,Bottom 50%
2604,3731,87083269,147,2014-01,2026-04,592403.19,846830,2016-05,846830,0.016156,447794056736,83.075483,Bottom 50%
2605,357,86953422,147,2014-01,2026-04,591519.88,724700,2019-08,724700,0.016132,447881010158,83.091614,Bottom 50%
2606,3644,86841815,147,2014-01,2026-04,590760.65,685044,2019-10,685044,0.016111,447967851973,83.107725,Bottom 50%
2607,6291,86811180,147,2014-01,2026-04,590552.24,675885,2025-10,675885,0.016105,448054663153,83.123831,Bottom 50%
2608,1325,86804424,147,2014-01,2026-04,590506.29,733751,2019-08,733751,0.016104,448141467577,83.139935,Bottom 50%
2609,3924,86803109,147,2014-01,2026-04,590497.34,760145,2019-03,760145,0.016104,448228270686,83.156039,Bottom 50%
2610,6121,86772060,143,2014-05,2026-04,606797.62,1379414,2024-09,1379414,0.016098,448315042746,83.172137,Bottom 50%
2611,4144,86760063,147,2014-01,2026-04,590204.51,817205,2019-03,817205,0.016096,448401802809,83.188233,Bottom 50%
2612,2133,86654905,55,2021-10,2026-04,1575543.73,1961099,2025-03,1961099,0.016076,448488457714,83.204309,Bottom 50%
2613,4029,86602498,147,2014-01,2026-04,589132.64,700194,2024-03,700194,0.016067,448575060212,83.220376,Bottom 50%
2614,4530,86582977,147,2014-01,2026-04,588999.84,919847,2014-03,919847,0.016063,448661643189,83.236439,Bottom 50%
2615,6264,86562900,147,2014-01,2026-04,588863.27,775089,2025-10,775089,0.016059,448748206089,83.252498,Bottom 50%
2616,3507,86483064,147,2014-01,2026-04,588320.16,1292384,2026-03,1292384,0.016044,448834689153,83.268542,Bottom 50%
2617,5388,86460999,72,2020-05,2026-04,1200847.21,1850677,2025-03,1850677,0.01604,448921150152,83.284583,Bottom 50%
2618,4580,86429103,147,2014-01,2026-04,587953.08,816108,2014-01,816108,0.016034,449007579255,83.300617,Bottom 50%
2619,6088,86402077,147,2014-01,2026-04,587769.23,779318,2023-08,779318,0.016029,449093981332,83.316647,Bottom 50%
2620,5031,86388626,147,2014-01,2026-04,587677.73,724828,2025-10,724828,0.016027,449180369958,83.332674,Bottom 50%
2621,720,86310686,147,2014-01,2026-04,587147.52,820268,2026-03,820268,0.016012,449266680644,83.348686,Bottom 50%
2622,3240,86296748,143,2014-05,2026-04,603473.76,1554417,2016-04,1554417,0.01601,449352977392,83.364696,Bottom 50%
2623,1017,86280230,147,2014-01,2026-04,586940.34,940235,2026-03,940235,0.016007,449439257622,83.380703,Bottom 50%
2624,4807,86278220,147,2014-01,2026-04,586926.67,768452,2015-05,768452,0.016006,449525535842,83.396709,Bottom 50%
2625,1006,86211191,147,2014-01,2026-04,586470.69,782824,2024-05,782824,0.015994,449611747033,83.412704,Bottom 50%
