rank,site_id,friendly_name,site_name,site_name_from_volume_csv,signal_type,municipality,total_cleaned_volume,latitude,longitude,has_coordinates,percentile_rank,traffic_band,volume_ratio,lookup_source,google_maps_url
751,4812,Swan / Madden,SWAN/MADDEN,2014-01,INT,YRA,196949010,-37.827237,145.01718,True,83.88136686009027,orange,0.291993,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.827237,145.01718"
752,4565,Flinders / Market,FLINDERS/MARKET,2014-01,INT,MBN,196856657,-37.819301,144.961088,True,83.85987534923706,orange,0.291856,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.819301,144.961088"
753,4334,HIGH near WALPOLE,HIGH NR WALPOLE,2014-01,POS,BOR,196768873,-37.806694,145.031082,True,83.83838383838383,orange,0.291726,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.806694,145.031082"
754,602,Princes Highway East / HARMER / WEDGEWOOD,PHE/HARMER/WEDGEWOOD,2014-01,INT,CAS,196531130,-38.004339,145.25756,True,83.81689232753062,orange,0.291374,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.004339,145.25756"
755,3563,NORTH near JASSA,NORTH NR JASSA,2014-01,POS,GLE,196507834,-37.90856,145.077619,True,83.79540081667741,orange,0.291339,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.90856,145.077619"
756,886,MAROONDAH near RYLAND,MAROONDAH NR RYLAND,2014-01,POS,MRH,196464113,-37.789989,145.266234,True,83.7739093058242,orange,0.291274,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.789989,145.266234"
757,283,Springvale / Governor / Hutton,SPRINGVALE/GOVERNOR/HUTTON,2014-01,INT,KIN,196331886,-38.010743,145.140826,True,83.752417794971,orange,0.291078,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.010743,145.140826"
758,200,Princes Highway East / STH GIPPSLAND Highway,PHE/STH GIPPSLAND HWY,2014-01,INT,DAN,196123581,-38.00053,145.225378,True,83.73092628411777,orange,0.290769,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.00053,145.225378"
759,281,Springvale / Wells / Edithvale,SPRINGVALE/WELLS/EDITHVALE,2014-01,INT,KIN,196104794,-38.027997,145.131188,True,83.70943477326456,orange,0.290742,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.027997,145.131188"
760,454,Ferntree Gully / Watsons / Streetrada,FERNTREE GULLY/WATSONS/STRADA,2014-01,INT,MSH,195903184,-37.904229,145.16765,True,83.68794326241135,orange,0.290443,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.904229,145.16765"
761,3732,Plenty / Albert / Boldrewood,PLENTY/ALBERT/BOLDREWOOD,2014-01,INT,BOR,195898948,-37.725186,145.023574,True,83.66645175155813,orange,0.290436,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.725186,145.023574"
762,599,Princes Highway East / PROGRESS,PHE/PROGRESS,2014-01,INT,CAS,195725817,-38.001857,145.236765,True,83.64496024070492,orange,0.29018,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.001857,145.236765"
763,3513,Mt Alexander / Buckley,MT ALEXANDER/BUCKLEY,2014-01,INT,MNV,195557012,-37.757287,144.919278,True,83.62346872985171,orange,0.289929,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.757287,144.919278"
764,1202,MAIN ROAD EAST near STRADBROKE DRIVE,MAIN ROAD EAST NR STRADBROKE DRIVE,2014-01,POS,BRM,195205363,-37.745328,144.809044,True,83.60197721899848,orange,0.289408,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.745328,144.809044"
765,197,Princes Highway East / WEBSTER,PHE/WEBSTER,2014-01,INT,DAN,195138741,-37.99279,145.216082,True,83.58048570814528,orange,0.289309,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.99279,145.216082"
766,4014,Sydney / Glenlyon / Dawson,SYDNEY/GLENLYON/DAWSON,2014-01,INT,MRD,195131976,-37.771561,144.961352,True,83.55899419729207,orange,0.289299,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.771561,144.961352"
767,2902,Exhibition / Lonsdale,EXHIBITION/LONSDALE,2014-01,INT,MBN,194999070,-37.810127,144.969656,True,83.53750268643886,orange,0.289102,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.810127,144.969656"
768,2333,NEPEAN near CENTREWAY,NEPEAN NR CENTREWAY,2014-01,POS,KIN,194922968,-38.006934,145.086912,True,83.51601117558565,orange,0.288989,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.006934,145.086912"
769,4558,Olympic Blvd(Swan) / Tram Access,OLYMPIC BLVD(SWAN)/TRAM ACCESS,2014-01,INT,MBN,194897343,-37.824342,144.986709,True,83.49451966473244,orange,0.288951,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.824342,144.986709"
770,3363,BANKSIA near MOUNT,BANKSIA NR MOUNT,2014-01,POS,BAN,194814928,-37.758922,145.062028,True,83.47302815387921,orange,0.288829,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.758922,145.062028"
771,2903,Russell / Lonsdale,RUSSELL/LONSDALE,2014-01,INT,MBN,194587436,-37.810842,144.967202,True,83.451536643026,orange,0.288492,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.810842,144.967202"
772,367,Boronia / Wantirna,BORONIA/WANTIRNA,2014-01,INT,KNO,194509728,-37.847629,145.227149,True,83.4300451321728,orange,0.288377,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.847629,145.227149"
773,2639,MELTON Highway / SHOPPING CENTRE ENT 2,MELTON HWY/SHOPPING CENTRE ENT 2,2014-01,INT,BRM,194477365,-37.696818,144.778268,True,83.40855362131958,orange,0.288329,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.696818,144.778268"
774,5257,Werribee Main Road(Phw) / Derrimut,WERRIBEE MAIN RD(PHW)/DERRIMUT,2014-01,INT,WYN,194398402,-37.893837,144.680481,True,83.38706211046637,orange,0.288212,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.893837,144.680481"
775,4266,Burwood / Auburn,BURWOOD/AUBURN,2014-01,INT,BOR,194340257,-37.823734,145.044802,True,83.36557059961315,orange,0.288125,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.823734,145.044802"
776,3554,North / Bambra / Thomas,NORTH/BAMBRA/THOMAS,2014-01,INT,BAY,194337229,-37.902165,145.025988,True,83.34407908875994,orange,0.288121,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.902165,145.025988"
777,995,Princes Highway East near PEEL,PHE NR PEEL,2014-01,POS,CAS,194328377,-38.035707,145.354289,True,83.32258757790673,orange,0.288108,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.035707,145.354289"
778,330,Doncaster / Wetherby / Victoria,DONCASTER/WETHERBY/VICTORIA,2014-01,INT,MAN,194290453,-37.787009,145.143735,True,83.30109606705352,orange,0.288052,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.787009,145.143735"
779,5143,Corio-Waurn Ponds / Rossack / Grr Ramps,CORIO-WAURN PONDS/ROSSACK/GRR RAMPS,2014-01,INT,GLG,194268257,-38.200726,144.311472,True,83.2796045562003,orange,0.288019,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.200726,144.311472"
780,611,Princes Highway East / HOGS BREATH / GMH ENT,PHE/HOGS BREATH/GMH ENT,2014-01,INT,CAS,194207819,-38.003072,145.247075,True,83.25811304534709,orange,0.287929,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.003072,145.247075"
781,3697,Warrigal / Keys / Corporate,WARRIGAL/KEYS/CORPORATE,2014-01,INT,KIN,194191638,-37.949841,145.077351,True,83.23662153449388,orange,0.287905,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.949841,145.077351"
782,3330,Lwr Plenty / Upp. Heidelberg / Waiora / Altona,LWR PLENTY/UPP. HEIDELBERG/WAIORA/ALTONA,2014-01,INT,BAN,194188858,-37.747337,145.05783,True,83.21513002364065,orange,0.287901,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.747337,145.05783"
783,2335,NEPEAN near ARNOT,NEPEAN NR ARNOT,2014-01,POS,BAY,194054063,-37.912331,145.014213,True,83.19363851278744,orange,0.287701,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.912331,145.014213"
784,4920,City / Southgate,CITY/SOUTHGATE,2014-01,INT,MBN,194011378,-37.82184,144.965819,True,83.17214700193423,orange,0.287638,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.82184,144.965819"
785,2208,Maroondah / Middleborough,MAROONDAH/MIDDLEBOROUGH,2014-01,INT,WTH,193891100,-37.819847,145.138449,True,83.15065549108103,orange,0.28746,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.819847,145.138449"
786,2706,Streetation / Billingham / Furlong,STATION/BILLINGHAM/FURLONG,2014-01,INT,BRM,193836796,-37.759972,144.776385,True,83.1291639802278,orange,0.287379,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.759972,144.776385"
787,149,Anderson / Hardy,ANDERSON/HARDY,2014-01,INT,YRG,193789937,-37.758866,145.354494,True,83.10767246937459,orange,0.28731,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.758866,145.354494"
788,208,Princes Highway East / CLYDE / LYALL,PHE/CLYDE/LYALL,2014-01,INT,CAS,193774696,-38.030977,145.343795,True,83.08618095852138,orange,0.287287,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.030977,145.343795"
789,4780,Spring / Edwardes,SPRING/EDWARDES,2014-01,INT,BOR,193560868,-37.716396,145.006777,True,83.06468944766817,orange,0.28697,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.716396,145.006777"
790,2184,Sydney / Amaroo / Grand,SYDNEY/AMAROO/GRAND,2014-01,INT,HUM,193453687,-37.584128,144.940814,True,83.04319793681496,orange,0.286811,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.584128,144.940814"
791,3396,Punt / Domain,PUNT/DOMAIN,2014-01,INT,MBN,193422258,-37.834762,144.987263,True,83.02170642596175,orange,0.286764,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.834762,144.987263"
792,158,Canterbury / Bunnings Hardware Access,CANTERBURY/BUNNINGS HARDWARE ACCESS,2014-01,INT,MRH,193420053,-37.828805,145.279466,True,83.00021491510853,orange,0.286761,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.828805,145.279466"
793,774,MOUNTAIN Highway / WANTIRNA,MOUNTAIN HWY/WANTIRNA,2014-01,INT,KNO,193175138,-37.848907,145.22715,True,82.97872340425532,orange,0.286398,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.848907,145.22715"
794,267,Monash / Streetud (South),MONASH/STUD (SOUTH),2014-01,INT,DAN,193019524,-37.962745,145.224853,True,82.95723189340211,orange,0.286167,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.962745,145.224853"
795,3939,Streetation / Carrington / Rutland,STATION/CARRINGTON/RUTLAND,2014-01,INT,WTH,192892336,-37.820349,145.123387,True,82.9357403825489,orange,0.285979,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.820349,145.123387"
796,3919,Eastern Freeway / Tram,EASTERN FWY/TRAM,2014-01,INT,MAN,192872794,-37.796641,145.126619,True,82.91424887169569,orange,0.28595,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.796641,145.126619"
797,2616,WESTERN Highway / HOLT / G & F ENT,WESTERN HWY/HOLT/G & F ENT,2014-01,INT,BRM,192759636,-37.771938,144.799848,True,82.89275736084247,orange,0.285782,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.771938,144.799848"
798,159,BURWOOD Highway / LAKEWOOD,BURWOOD HWY/LAKEWOOD,2014-01,INT,KNO,192741528,-37.875027,145.253614,True,82.87126584998926,orange,0.285755,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.875027,145.253614"
799,3352,Main Hurstbridge / Elizabeth,MAIN HURSTBRIDGE/ELIZABETH,2014-01,INT,NBK,192621087,-37.673599,145.154937,True,82.84977433913603,orange,0.285577,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.673599,145.154937"
800,4540,Street Kilda / Leopold / Armadale,ST KILDA/LEOPOLD/ARMADALE,2014-01,INT,MBN,192558335,-37.841343,144.977406,True,82.82828282828282,orange,0.285484,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.841343,144.977406"
801,4710,Huntingdale / Waverley,HUNTINGDALE/WAVERLEY,2014-01,INT,MSH,192407751,-37.882514,145.108996,True,82.80679131742961,orange,0.28526,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.882514,145.108996"
802,2781,Gordon / Edgewater / Mitchell,GORDON/EDGEWATER/MITCHELL,2014-01,INT,MRG,191718331,-37.784634,144.890755,True,82.7852998065764,orange,0.284238,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.784634,144.890755"
803,3316,Rosanna / Banyule,ROSANNA/BANYULE,2014-01,INT,BAN,191706968,-37.742871,145.072485,True,82.76380829572318,orange,0.284221,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.742871,145.072485"
804,4989,Fitzgerald / Federation Trail,FITZGERALD/FEDERATION TRAIL,2014-01,POS,WYN,191664737,-37.835619,144.783854,True,82.74231678486997,orange,0.284159,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.835619,144.783854"
805,2772,Childs / Streetables Shopping Centre,CHILDS/STABLES SHOPPING CENTRE,2014-01,INT,WHI,191568776,-37.666705,145.059216,True,82.72082527401676,orange,0.284016,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.666705,145.059216"
806,1415,MONASH Freeway EXIT RAMP / FERNTREE GULLY RD,MONASH FWY EXIT RAMP / FERNTREE GULLY RD,2017-11,INT,MSH,191463136,-37.902794,145.155034,True,82.69933376316355,orange,0.28386,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.902794,145.155034"
807,3695,Warrigal / Old Dandenong,WARRIGAL/OLD DANDENONG,2014-01,INT,KIN,191439726,-37.931549,145.080981,True,82.67784225231034,orange,0.283825,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.931549,145.080981"
808,5801,Western Freeway / Bacchus Marsh-Gisborne,WESTERN FWY/BACCHUS MARSH-GISBORNE,2014-01,INT,MRD,191432716,-37.664279,144.43901,True,82.65635074145713,orange,0.283815,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.664279,144.43901"
809,335,Doncaster / Blackburn,DONCASTER/BLACKBURN,2014-01,INT,MAN,191354028,-37.789163,145.161956,True,82.63485923060391,orange,0.283698,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.789163,145.161956"
810,2730,CALDER Highway / KEILOR PARK,CALDER HWY/KEILOR PARK,2014-01,INT,BRM,191282754,-37.727027,144.849463,True,82.6133677197507,orange,0.283592,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.727027,144.849463"
811,3113,Brunswick / Lygon,BRUNSWICK/LYGON,2014-01,INT,MRD,191232543,-37.778293,144.970696,True,82.59187620889749,orange,0.283518,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.778293,144.970696"
812,3229,High / Mahoneys / Keon,HIGH/MAHONEYS/KEON,2014-01,INT,BOR,191230831,-37.694871,145.011875,True,82.57038469804428,orange,0.283515,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.694871,145.011875"
813,5253,Duncans / Synnot,DUNCANS/SYNNOT,2014-01,INT,WYN,191022757,-37.901914,144.66289,True,82.54889318719107,orange,0.283207,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.901914,144.66289"
814,2343,Nepean / Tanti / Pentecost,NEPEAN/TANTI/PENTECOST,2014-01,INT,MRP,190958088,-38.226435,145.048847,True,82.52740167633785,orange,0.283111,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.226435,145.048847"
815,1145,Cranbourne / Clarendon,CRANBOURNE/CLARENDON,2014-01,INT,FRA,190678315,-38.146409,145.133352,True,82.50591016548464,orange,0.282696,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.146409,145.133352"
816,3699,Warrigal / Bernard,WARRIGAL/BERNARD,2014-01,INT,KIN,190652360,-37.955171,145.076399,True,82.48441865463143,orange,0.282658,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.955171,145.076399"
817,3345,Grimshaw / Henry / The Circuit,GRIMSHAW/HENRY/THE CIRCUIT,2014-01,INT,BAN,190635570,-37.704362,145.10068,True,82.4629271437782,orange,0.282633,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.704362,145.10068"
818,4159,CITY near FANNING,CITY NR FANNING,2014-01,POS,MBN,190543009,-37.821431,144.966728,True,82.44143563292499,orange,0.282496,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.821431,144.966728"
819,5021,Corio-Waurn Ponds(Latrobe) / Kilgour / Noble,CORIO-WAURN PONDS(LATROBE)/KILGOUR/NOBLE,2014-01,INT,GLG,190332888,-38.15462,144.351252,True,82.41994412207178,orange,0.282184,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.15462,144.351252"
820,237,Nepean / Bungower,NEPEAN/BUNGOWER,2014-01,INT,MRP,190178717,-38.220358,145.056653,True,82.39845261121856,orange,0.281956,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.220358,145.056653"
821,5014,Corio-Waurn Ponds / Victoria,CORIO-WAURN PONDS / VICTORIA,2014-01,INT,GLG,189962800,-38.123161,144.352801,True,82.37696110036535,orange,0.281636,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.123161,144.352801"
822,618,Princes Freeway / Clyde (Nth) Exit,PRINCES FWY/CLYDE (NTH) EXIT,2014-01,INT,CAS,189951200,-38.043997,145.341466,True,82.35546958951214,orange,0.281618,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.043997,145.341466"
823,4448,Albert / Powlett,ALBERT/POWLETT,2014-01,INT,MBN,189912709,-37.810704,144.986159,True,82.33397807865893,orange,0.281561,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.810704,144.986159"
824,2021,STATION between BOARDMAN & GARDINER CK,STATION BTW BOARDMAN & GARDINER CK,2014-01,POS,WTH,189801202,-37.8414,145.121536,True,82.31248656780572,orange,0.281396,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.8414,145.121536"
825,4043,Burke / Toorak,BURKE/TOORAK,2014-01,INT,BOR,189744728,-37.845704,145.053978,True,82.2909950569525,orange,0.281312,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.845704,145.053978"
826,1113,Greens / Eastlink,GREENS/EASTLINK,2014-01,INT,DAN,189737174,-38.011319,145.187541,True,82.26950354609929,orange,0.281301,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.011319,145.187541"
827,194,Princes Highway East / CLOW,PHE/CLOW,2014-01,INT,DAN,189454388,-37.984823,145.214009,True,82.24801203524608,orange,0.280882,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.984823,145.214009"
828,4041,BURKE near CAMPBELL,BURKE NR CAMPBELL,2014-01,POS,BOR,189364698,-37.833688,145.056256,True,82.22652052439287,orange,0.280749,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.833688,145.056256"
829,403,Narre Warren Nth / Magid / Ryelands,NARRE WARREN NTH/MAGID/RYELANDS,2014-01,INT,CAS,189074559,-38.013886,145.30927,True,82.20502901353966,orange,0.280319,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.013886,145.30927"
830,3238,Cooper / Northern Hospital Ent,COOPER/NORTHERN HOSPITAL ENT,2014-01,INT,WHI,188866610,-37.651077,145.015494,True,82.18353750268645,orange,0.28001,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.651077,145.015494"
831,3659,MT ALEXANDER near DAVIES,MT ALEXANDER NR DAVIES,2014-01,POS,MNV,188374431,-37.769115,144.925558,True,82.16204599183322,orange,0.279281,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.769115,144.925558"
832,358,Blackburn / High Street Road,BLACKBURN/HIGH ST RD,2014-01,INT,MSH,188334558,-37.872205,145.148398,True,82.14055448098001,orange,0.279221,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.872205,145.148398"
833,2787,Cooper / Miller / Epping Plaza Shop C Acc 4,COOPER/MILLER/EPPING PLAZA SHOP C ACC 4,2014-01,INT,WHI,188282596,-37.651486,145.019313,True,82.1190629701268,orange,0.279144,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.651486,145.019313"
834,4805,Bridge / Burnley,BRIDGE/BURNLEY,2014-01,INT,YRA,188193760,-37.819504,145.008292,True,82.09757145927358,orange,0.279013,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.819504,145.008292"
835,2637,MELTON Highway / PARMELIA,MELTON HWY/PARMELIA,2014-01,INT,BRM,188113351,-37.698579,144.78638,True,82.07607994842037,orange,0.278894,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.698579,144.78638"
836,438,Springvale / Heatherton,SPRINGVALE/HEATHERTON,2014-01,INT,DAN,188100661,-37.962169,145.150361,True,82.05458843756716,orange,0.278875,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.962169,145.150361"
837,717,MAIN near PRYOR,MAIN NR PRYOR,2014-01,POS,NBK,188059733,-37.71412,145.148439,True,82.03309692671394,orange,0.278814,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.71412,145.148439"
838,2423,Princes Highway East near SUTHERLAND,PHE NR SUTHERLAND,2014-01,POS,GLE,188001966,-37.884552,145.07066,True,82.01160541586073,orange,0.278728,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.884552,145.07066"
839,163,BURWOOD Highway / SEVENOAKS,BURWOOD HWY/SEVENOAKS,2014-01,INT,WTH,187677542,-37.853654,145.158269,True,81.99011390500752,orange,0.278247,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.853654,145.158269"
840,4919,Plenty / The Lakes,PLENTY/THE LAKES,2014-01,INT,WHI,187614237,-37.632464,145.096205,True,81.96862239415431,orange,0.278154,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.632464,145.096205"
841,2768,Dalton / Darebin / Alexander,DALTON/DAREBIN/ALEXANDER,2014-01,INT,WHI,187573043,-37.68201,145.029616,True,81.9471308833011,orange,0.278092,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.68201,145.029616"
842,3177,Berwick-Cranbourne / Glasscocks / Grices,BERWICK-CRANBOURNE/GLASSCOCKS/GRICES,2014-01,INT,CAS,187486409,-38.074511,145.335344,True,81.92563937244788,orange,0.277964,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.074511,145.335344"
843,4661,Clarendon / High / Normanby,CLARENDON/HIGH/NORMANBY,2014-01,INT,BOR,187458784,-37.759559,145.000439,True,81.90414786159467,orange,0.277923,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.759559,145.000439"
844,5249,Werribee Main Road(Phw) / Synnot / Bridge,WERRIBEE MAIN RD(PHW)/SYNNOT/BRIDGE,2014-01,INT,WYN,187436651,-37.903107,144.660729,True,81.88265635074146,orange,0.27789,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.903107,144.660729"
845,5064,CORIO-WAURN POND(LATROBE near LITTLE MALOP,CORIO-WAURN POND(LATROBE NR LITTLE MALOP,2014-01,POS,GLG,187338289,-38.14586,144.353062,True,81.86116483988825,orange,0.277744,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.14586,144.353062"
846,2166,Pascoe Vale / Girgarre,PASCOE VALE/GIRGARRE,2014-01,INT,HUM,187328807,-37.670361,144.923778,True,81.83967332903504,orange,0.27773,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.670361,144.923778"
847,4145,Hoddle / Roseneath / South,HODDLE/ROSENEATH/SOUTH,2014-01,INT,YRA,187281836,-37.792381,144.994313,True,81.81818181818183,orange,0.277661,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.792381,144.994313"
848,3314,Rosanna / Darebin,ROSANNA/DAREBIN,2014-01,INT,BAN,187229907,-37.754642,145.069974,True,81.7966903073286,orange,0.277584,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.754642,145.069974"
