file,name,rows_estimate,usefulness_score_0_to_3,has_day_column,has_time_column,has_volume_column,columns,error
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\shock_detection_timeline.csv,shock_detection_timeline.csv,147,1,False,False,True,month | volume | rolling_median_12m | rolling_std_12m | z_score | shock_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\site_lifecycle_cluster_assignments.csv,site_lifecycle_cluster_assignments.csv,4539,1,False,False,True,site_id | first_avg | site_name | last_avg | absolute_growth | growth_pct | cv | mean_volume | lifecycle_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\site_lifecycle_cluster_summary.csv,site_lifecycle_cluster_summary.csv,4,1,False,False,True,lifecycle_type | sites | avg_monthly_growth | avg_cv | avg_mean_volume,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\traffic_concentration_curve.csv,traffic_concentration_curve.csv,4758,1,False,False,True,site_id | total_volume | site_name | rank | cum_volume | cum_share | site_share,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\traffic_concentration_milestones.csv,traffic_concentration_milestones.csv,4,0,False,False,False,traffic_pct | sites_needed | site_pct,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\traffic_momentum_index.csv,traffic_momentum_index.csv,147,1,False,False,True,month | volume | mom_pct | momentum_3m,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\weekday_profile.csv,weekday_profile.csv,7,2,True,False,True,weekday_num | weekday | avg_volume,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\chunked_busiest_day_monthly.csv,chunked_busiest_day_monthly.csv,2916,2,True,False,True,month_label | month_start | next_month_start | count_date | day_total_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,271963,1,False,False,True,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\chunked_busiest_time_bin_monthly.csv,chunked_busiest_time_bin_monthly.csv,11617,2,False,True,True,month_label | month_start | next_month_start | time_bin | month_time_bin_volume | month_distinct_dates | month_avg_daily_time_bin_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\day_of_week_profile.csv,day_of_week_profile.csv,561,2,True,False,True,month_label | month_start | next_month_start | iso_dow | day_name | day_total_volume | days_loaded | avg_daily_volume | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\month_of_year_profile.csv,month_of_year_profile.csv,90,2,True,False,True,month_label | month_start | next_month_start | month_of_year | month_name | month_total_volume | days_loaded | avg_daily_volume | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\site_month_totals.csv,site_month_totals.csv,486312,1,False,False,True,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\site_totals.csv,site_totals.csv,549347,1,False,False,True,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\time_bin_profile.csv,time_bin_profile.csv,10273,3,True,True,True,month_label | month_start | next_month_start | time_bin | month_time_bin_volume | days_in_month_loaded | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\in progress tests\weekday_weekend_split.csv,weekday_weekend_split.csv,105,2,True,False,True,month_label | month_start | next_month_start | month_total_volume | month_weekday_volume | month_weekend_volume | month_weekday_days | month_weekend_days | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_00_2019-05-15_pre_covid_baseline.csv,chunk_00_2019-05-15_pre_covid_baseline.csv,355724,2,False,True,True,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,
A:\TrafficAnalytics\PROJECTS\reports\deduped\kepler_animation_exports\_chunks_covid_comparison_days_v4\chunk_01_2020-08-05_lockdown___covid_shock.csv,chunk_01_2020-08-05_lockdown___covid_shock.csv,370742,2,False,True,True,animation_timestamp | timestamp | date_label | comparison_sequence | comparison_period | time_label | hour | minute | site_id | site_name | latitude | longitude | volume | scaled_volume | scaled_volume_0_100 | intensity_band,
