rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,archetype_colour,ooh_exposure_score,traffic_transformation_index,strategic_importance_score
15,3060,492433092,147,2014-01,2026-04,3349884.98,3842180,2025-10,3842180,0.091357,8071951542,1.497522,Top 1%,147,492433092.0,3349884.9795918367,3420979.0,350899.3069398925,3842180.0,761640.0,0.10474965829502823,1.1469587831842951,3460477.3333333335,3413846.0833333335,-46631.25,-1.3475380853046093,Bell / High,BELL/HIGH,-37.745172,145.002817,red,99.699118848055,0.730073,"https://www.google.com/maps/search/?api=1&query=-37.745172,145.002817",99.70575872215215,98.92519346517626,1.0748065348237317,47.10458081244598,5.415860735009671,Metropolitan Backbone,#7b1fa2,88.99038182596695,35.26108738560398,74.23476726071648
33,3059,424979480,147,2014-01,2026-04,2891016.87,3440585,2025-10,3440585,0.078843,16399671493,3.042494,Top 1%,147,424979480.0,2891016.870748299,2963954.0,334483.2478857638,3440585.0,640260.0,0.11569743894271621,1.1900950958855707,2962414.9166666665,2975061.5833333335,12646.666666666977,0.4269039625582601,Bell / Street Georges,BELL/ST GEORGES,-37.744603,144.997452,red,99.31227165269718,0.630067,"https://www.google.com/maps/search/?api=1&query=-37.744603,144.997452",99.32744850777637,95.44282029234738,4.557179707652622,52.26879861711322,22.738018482699335,Metropolitan Backbone,#7b1fa2,88.9445614757865,40.55184495677256,74.92325256653938
1,4415,674498771,147,2014-01,2026-04,4588427.01,5171583,2024-10,5171583,0.125134,674498771,0.125134,Top 1%,147,674498771.0,4588427.013605442,4727309.0,534564.9481146788,5171583.0,927843.0,0.11650287702727007,1.1270927890245186,4434601.083333333,4428438.0,-6163.083333333023,-0.13897717556819003,PRINCES near CANNING,PRINCES NR CANNING,-37.792825,144.973731,red,100.0,1.0,"https://www.google.com/maps/search/?api=1&query=-37.792825,144.973731",100.0,95.12037833190026,4.879621668099742,49.330164217804665,1.5688802922845475,Metropolitan Backbone,#7b1fa2,88.646127426536,36.74224889301899,74.62205176015595
333,569,258684448,147,2014-01,2026-04,1759758.15,2026674,2025-10,2026674,0.047992,110546852390,20.508832,Top 10%,147,258684448.0,1759758.149659864,1802773.0,202629.98049901766,2026674.0,391922.0,0.11514649358957829,1.1516775759167401,1649688.5,1807871.4166666667,158182.91666666674,9.588653655927573,STH GIPPS'D Highway / MCDOWALL / COMMERCIAL,STH GIPPS'D HWY/MCDOWALL/COMMERCIAL,-38.042643,145.252243,orange,92.8648183967333,0.383521,"https://www.google.com/maps/search/?api=1&query=-38.042643,145.252243",93.0222782681799,95.65778159931212,4.342218400687877,67.09161624891962,6.920266494734579,Metropolitan Backbone,#7b1fa2,88.4950216971109,41.289756942762814,75.06123755043049
257,5007,277809989,147,2014-01,2026-04,1889863.87,2313844,2026-01,2313844,0.05154,90156255474,16.725935,Top 10%,147,277809989.0,1889863.8707482994,1926296.0,231024.55120203047,2313844.0,425000.0,0.122244017031002,1.2243442693487885,1744634.4166666667,1928523.9166666667,183889.5,10.540288454892627,Corio-Waurn / Bacchus Marsh / Cox / Street Georges,CORIO-WAURN/BACCHUS MARSH/COX/ST GEORGES,-38.084169,144.358674,orange,94.49817322157747,0.411876,"https://www.google.com/maps/search/?api=1&query=-38.084169,144.358674",94.61958806221101,91.0146173688736,8.985382631126397,68.17199654278306,36.27767032022351,Metropolitan Backbone,#7b1fa2,88.42882708499107,47.96205104420489,75.76394480499525
300,2158,265612292,147,2014-01,2026-04,1806886.34,2083369,2022-03,2083369,0.049277,101890826789,18.902952,Top 10%,147,265612292.0,1806886.3401360544,1813591.0,183047.43414423382,2083369.0,389688.0,0.10130545019807431,1.1530160772830498,1731482.4166666667,1811705.0,80222.58333333326,4.633173433419692,Sydney / Somerset,SYDNEY/SOMERSET,-37.678627,144.956649,orange,93.57403825488932,0.393792,"https://www.google.com/maps/search/?api=1&query=-37.678627,144.956649",93.71584699453553,99.39810834049871,0.6018916595012898,60.1123595505618,7.328605200945626,Metropolitan Backbone,#7b1fa2,88.41571484223158,38.08683012504294,74.16450847467829
63,4711,381289235,147,2014-01,2026-04,2593804.32,3054727,2025-10,3054727,0.070737,28427112993,5.273844,Top 5%,147,381289235.0,2593804.319727891,2658358.0,339653.69330530084,3054727.0,534190.0,0.13094807912916615,1.1777014082236021,2430159.75,2647612.0,217452.25,8.948064011018205,Swanston / Cemetery East / College,SWANSTON/CEMETERY EAST/COLLEGE,-37.793413,144.965161,red,98.6675263271008,0.565293,"https://www.google.com/maps/search/?api=1&query=-37.793413,144.965161",98.69693148381673,82.50214961306965,17.497850386930352,66.35695764909248,17.27917472598324,Metropolitan Backbone,#7b1fa2,88.18024124918512,48.362597435814195,76.81011817818951
209,1121,292060666,147,2014-01,2026-04,1986807.25,2316081,2018-10,2316081,0.054184,76500971670,14.192585,Top 5%,147,292060666.0,1986807.2517006802,2010729.0,220836.40719762843,2316081.0,367715.0,0.11115139981928063,1.165730091843316,1882415.75,1925925.6666666667,43509.916666666744,2.311387198426636,Dandenong Southern Bypass / Dand_Franston,DANDENONG SOUTHERN BYPASS/DAND_FRANSTON,-38.00414,145.217414,red,95.52976574253172,0.433004,"https://www.google.com/maps/search/?api=1&query=-38.00414,145.217414",95.62841530054644,97.33447979363714,2.6655202063628547,55.855661192739845,12.336127229744251,Metropolitan Backbone,#7b1fa2,88.1003806022578,38.66573257461988,74.07064311347573
14,3516,494139005,147,2014-01,2026-04,3361489.83,3941371,2025-10,3941371,0.091673,7579518450,1.406165,Top 1%,147,494139005.0,3361489.829931973,3467537.0,442033.3127206431,3941371.0,768315.0,0.13149922655859667,1.172507191574565,3264208.5,3496208.0,231999.5,7.10737380899535,BULLA near HOLYROOD,BULLA NR HOLYROOD,-37.738597,144.906609,red,99.72061035890825,0.732602,"https://www.google.com/maps/search/?api=1&query=-37.738597,144.906609",99.72677595628416,81.98624247635425,18.013757523645744,63.69922212618842,14.979583064689447,Metropolitan Backbone,#7b1fa2,88.08613182028253,47.60687442209279,76.71620572938328
360,1267,252358211,147,2014-01,2026-04,1716722.52,2073533,2021-03,2073533,0.046818,117445676302,21.788713,Top 10%,147,252358211.0,1716722.5238095238,1748719.0,208234.39693242984,2073533.0,259375.0,0.12129764364618667,1.2078439999719288,1522077.5833333333,1711594.0833333333,189516.5,12.45117213965933,Frankston-Dandenong / Penlink,FRANKSTON-DANDENONG/PENLINK,-38.108626,145.162193,orange,92.28454760369654,0.374142,"https://www.google.com/maps/search/?api=1&query=-38.108626,145.162193",92.45481294661623,91.98194325021495,8.018056749785037,70.05185825410545,29.894691596819257,Metropolitan Backbone,#7b1fa2,87.85600458401376,46.797043667502535,75.21413463930915
224,2871,286506877,147,2014-01,2026-04,1949026.37,2249000,2025-10,2249000,0.053153,80841279127,14.997806,Top 5%,147,286506877.0,1949026.3741496599,2000555.0,237379.8331261297,2249000.0,433114.0,0.12179405895915393,1.1539094749198637,1878099.6666666667,1986757.25,108657.58333333326,5.7855067684551305,Mickleham / Gladstone Park / International,MICKLEHAM/GLADSTONE PARK/INTERNATIONAL,-37.688101,144.88243,red,95.2073930797335,0.42477,"https://www.google.com/maps/search/?api=1&query=-37.688101,144.88243",95.31315678856662,91.55202063628548,8.447979363714532,61.732929991356954,7.672469374597034,Metropolitan Backbone,#7b1fa2,87.6568273910544,41.690173538610054,74.81510758494065
