month,mean_site_volume,std_site_volume,active_sites,network_cv
2021-07-01,802144.7290628707,538238.6334015626,4215,0.6709994018540466
2021-08-01,669903.869296578,442662.3791137072,4208,0.6607849266171845
2021-09-01,635129.6009992863,420078.01296919916,4203,0.6614051877101398
2021-10-01,737374.5816023739,518862.7801807657,4381,0.7036624168048151
2021-11-01,916880.4007058823,615858.9457845754,4250,0.6716895085885156
2021-12-01,935387.0830790894,629340.4885846026,4261,0.6728128920841536
2022-01-01,804847.2246189918,554649.9678333885,4265,0.6891369577573623
2022-02-01,838215.8044322595,592313.3368807728,4377,0.706635849322787
2022-03-01,945648.7097680955,643056.2054145064,4269,0.6800159496566174
2022-04-01,860044.2899228431,591941.1447534054,4277,0.6882682109388925
2022-05-01,929749.0282644242,653343.8197730769,4281,0.7027098710634666
2022-06-01,881997.4925407926,615508.6707882695,4290,0.6978576197707298
2022-07-01,901554.8405493483,626198.0864439948,4296,0.6945757021973625
2022-08-01,932474.8728202743,634155.6138131062,4301,0.6800779648840293
2022-09-01,887476.7505800464,605848.4064180548,4310,0.6826639751656345
2022-10-01,913900.683949504,643291.120784344,4436,0.7038960929587048
2022-11-01,926281.4828941285,622616.5305044081,4326,0.6721677395072913
2022-12-01,899901.8314891655,610636.0310366496,4338,0.6785584934594073
2023-01-01,859723.2514983864,595103.6316753228,4338,0.6922037186247251
2023-02-01,872121.469763164,591862.4919656027,4349,0.6786468542350308
2023-03-01,965685.1774971298,654472.4943903211,4355,0.6777286321061569
2023-04-01,862779.1331347388,597196.1992102538,4364,0.6921773792099706
2023-05-01,947815.2505142858,649091.7906742729,4375,0.6848294436305756
2023-06-01,891378.0347111212,611456.0157169803,4379,0.6859671114906277
2023-07-01,888152.8816959198,608317.8039768422,4387,0.6849246526287962
2023-08-01,942686.801273306,640709.1829168322,4398,0.6796628339883548
2023-09-01,894945.611855553,608586.5531646234,4403,0.6800263000371594
2023-10-01,921208.0797276521,653001.208563072,4553,0.7088531059737629
2023-11-01,931917.7499434773,630194.0702789868,4423,0.6762335735285752
2023-12-01,910128.4737079666,619687.9763704591,4431,0.6808796716861082
2024-01-01,858699.2927104491,592324.5533177975,4431,0.6897927578910067
2024-02-01,916002.7749210645,619164.8311909172,4434,0.675942091162631
2024-03-01,947261.9513623058,646787.6237428446,4441,0.682797005424599
2024-04-01,895684.3157894737,618802.3462638746,4446,0.6908710305130776
2024-05-01,965128.5905211141,658249.0741312032,4452,0.6820325090315545
2024-06-01,891151.9331538806,611731.297790718,4458,0.686450059784684
2024-07-01,928585.6838565023,636469.08597146,4460,0.6854177240038258
2024-08-01,957659.4263687151,649365.2553589719,4475,0.6780753548484941
2024-09-01,865369.67826863,590671.6294361515,4482,0.6825656644428831
2024-10-01,978456.571237756,659249.6838458275,4492,0.6737648897506722
2024-11-01,944334.8843930636,632981.9533176561,4498,0.67029394315395
2024-12-01,933711.7970242061,627860.039050465,4503,0.6724345146451951
2025-01-01,876385.368397692,597246.8032586499,4506,0.6814887888311107
2025-02-01,852797.0669326241,570881.270571316,4512,0.6694221787425765
2025-03-01,970021.7800884956,653117.8018888668,4520,0.6733022034095797
2025-04-01,893671.6027851459,605617.2735852412,4524,0.67767317625157
2025-05-01,948696.1073396518,636743.6725671716,4537,0.671177701311264
2025-06-01,903441.2669454225,612635.1596507588,4544,0.6781128802341597
2025-07-01,942555.8060259512,642054.1871614966,4547,0.6811842684079961
2025-08-01,964004.8639859372,652086.7188842498,4551,0.676435092026426
2025-09-01,916272.4950776636,620329.3599243369,4571,0.6770140577795665
2025-10-01,986967.6181937458,660704.363326219,4573,0.6694286125976222
2025-11-01,940171.9803536346,628015.6693978759,4581,0.6679795638683629
2025-12-01,917394.6384648931,612997.9726454981,4586,0.6681944137707715
2026-01-01,885390.5805186315,600962.2458515033,4589,0.6787538280557268
2026-02-01,898607.9155236229,597258.498914062,4593,0.6646486065794744
2026-03-01,960935.3441445363,641418.1411620524,4594,0.6674935468557137
2026-04-01,182914.64026115343,124246.71800961824,4595,0.6792606531233749
