sites,cpm,utilisation,traffic_volume,traffic_share_percent,revenue,cost,profit,roi_percent,break_even_cpm
2500,8,0.75,438505235661,81.35220545914984,2631031413.966,30000000.0,2601031413.966,8670.10471322,0.09121897926647159
2500,8,1.0,438505235661,81.35220545914984,3508041885.288,30000000.0,3478041885.288,11593.47295096,0.0684142344498537
2500,12,0.25,438505235661,81.35220545914984,1315515706.983,30000000.0,1285515706.983,4285.05235661,0.2736569377994148
2500,12,0.5,438505235661,81.35220545914984,2631031413.966,30000000.0,2601031413.966,8670.10471322,0.1368284688997074
2500,12,0.75,438505235661,81.35220545914984,3946547120.9490004,30000000.0,3916547120.9490004,13055.157069830002,0.09121897926647159
2500,12,1.0,438505235661,81.35220545914984,5262062827.932,30000000.0,5232062827.932,17440.20942644,0.0684142344498537
2500,16,0.25,438505235661,81.35220545914984,1754020942.644,30000000.0,1724020942.644,5746.73647548,0.2736569377994148
2500,16,0.5,438505235661,81.35220545914984,3508041885.288,30000000.0,3478041885.288,11593.47295096,0.1368284688997074
2500,16,0.75,438505235661,81.35220545914984,5262062827.932,30000000.0,5232062827.932,17440.20942644,0.09121897926647159
2500,16,1.0,438505235661,81.35220545914984,7016083770.576,30000000.0,6986083770.576,23286.94590192,0.0684142344498537
3000,2,0.25,479298297438,88.92020071464057,239649148.719,36000000.0,203649148.719,565.692079775,0.30043920616811126
3000,2,0.5,479298297438,88.92020071464057,479298297.438,36000000.0,443298297.438,1231.38415955,0.15021960308405563
3000,2,0.75,479298297438,88.92020071464057,718947446.157,36000000.0,682947446.157,1897.0762393249997,0.1001464020560371
3000,2,1.0,479298297438,88.92020071464057,958596594.876,36000000.0,922596594.876,2562.7683191,0.07510980154202782
3000,4,0.25,479298297438,88.92020071464057,479298297.438,36000000.0,443298297.438,1231.38415955,0.30043920616811126
3000,4,0.5,479298297438,88.92020071464057,958596594.876,36000000.0,922596594.876,2562.7683191,0.15021960308405563
3000,4,0.75,479298297438,88.92020071464057,1437894892.314,36000000.0,1401894892.314,3894.1524786499995,0.1001464020560371
3000,4,1.0,479298297438,88.92020071464057,1917193189.752,36000000.0,1881193189.752,5225.5366382,0.07510980154202782
3000,8,0.25,479298297438,88.92020071464057,958596594.876,36000000.0,922596594.876,2562.7683191,0.30043920616811126
3000,8,0.5,479298297438,88.92020071464057,1917193189.752,36000000.0,1881193189.752,5225.5366382,0.15021960308405563
3000,8,0.75,479298297438,88.92020071464057,2875789784.628,36000000.0,2839789784.628,7888.304957299999,0.1001464020560371
3000,8,1.0,479298297438,88.92020071464057,3834386379.504,36000000.0,3798386379.504,10551.0732764,0.07510980154202782
3000,12,0.25,479298297438,88.92020071464057,1437894892.3140001,36000000.0,1401894892.3140001,3894.1524786500004,0.30043920616811126
3000,12,0.5,479298297438,88.92020071464057,2875789784.6280003,36000000.0,2839789784.6280003,7888.304957300001,0.15021960308405563
3000,12,0.75,479298297438,88.92020071464057,4313684676.941999,36000000.0,4277684676.9419994,11882.457435949998,0.1001464020560371
3000,12,1.0,479298297438,88.92020071464057,5751579569.2560005,36000000.0,5715579569.2560005,15876.609914600002,0.07510980154202782
3000,16,0.25,479298297438,88.92020071464057,1917193189.752,36000000.0,1881193189.752,5225.5366382,0.30043920616811126
3000,16,0.5,479298297438,88.92020071464057,3834386379.504,36000000.0,3798386379.504,10551.0732764,0.15021960308405563
3000,16,0.75,479298297438,88.92020071464057,5751579569.256,36000000.0,5715579569.256,15876.609914599998,0.1001464020560371
3000,16,1.0,479298297438,88.92020071464057,7668772759.008,36000000.0,7632772759.008,21202.1465528,0.07510980154202782
4000,2,0.25,530786929175,98.4724555276644,265393464.5875,48000000.0,217393464.5875,452.90305122395836,0.3617270687098961
4000,2,0.5,530786929175,98.4724555276644,530786929.175,48000000.0,482786929.175,1005.8061024479167,0.18086353435494806
4000,2,0.75,530786929175,98.4724555276644,796180393.7625,48000000.0,748180393.7625,1558.7091536718751,0.12057568956996537
4000,2,1.0,530786929175,98.4724555276644,1061573858.35,48000000.0,1013573858.35,2111.6122048958337,0.09043176717747403
4000,4,0.25,530786929175,98.4724555276644,530786929.175,48000000.0,482786929.175,1005.8061024479167,0.3617270687098961
4000,4,0.5,530786929175,98.4724555276644,1061573858.35,48000000.0,1013573858.35,2111.6122048958337,0.18086353435494806
