count_date,scats_site,total_volume
2021-05-13,2404,133578
2021-05-13,2405,126425
2021-05-13,2438,91588
2021-05-13,2487,130573
2021-05-13,2816,125598
2021-05-13,2929,106262
2021-05-13,3060,117266
2021-05-13,3357,124329
2021-05-13,3380,185583
2021-05-13,3386,131275
2021-05-13,3516,120901
2021-05-13,3519,128735
2021-05-13,4415,163989
2021-05-14,414,121683
2021-05-14,415,120439
2021-05-14,416,124238
2021-05-14,849,163014
2021-05-14,855,137801
2021-05-14,1359,135832
2021-05-14,2101,134231
2021-05-14,2404,143023
2021-05-14,2405,134483
2021-05-14,2438,96949
2021-05-14,2487,135126
2021-05-14,2816,130838
2021-05-14,2929,115714
2021-05-14,3060,113415
2021-05-14,3357,129302
2021-05-14,3380,192365
2021-05-14,3386,140309
2021-05-14,3516,124109
2021-05-14,3519,134542
2021-05-14,4415,174639
2021-05-15,414,113736
2021-05-15,415,110795
2021-05-15,416,116470
2021-05-15,849,168403
2021-05-15,855,117860
2021-05-15,1359,132677
2021-05-15,2101,129330
2021-05-15,2404,136048
2021-05-15,2405,130940
2021-05-15,2438,91976
2021-05-15,2487,129573
2021-05-15,2816,113185
2021-05-15,2929,116708
2021-05-15,3060,110881
2021-05-15,3357,110594
2021-05-15,3380,186305
2021-05-15,3386,140807
2021-05-15,3516,109852
2021-05-15,3519,120239
2021-05-15,4415,169453
2021-05-16,414,101531
2021-05-16,415,101230
2021-05-16,416,102909
2021-05-16,849,127248
2021-05-16,855,96878
2021-05-16,1359,118889
2021-05-16,2101,111237
2021-05-16,2404,125260
2021-05-16,2405,116811
2021-05-16,2438,79328
2021-05-16,2487,115467
2021-05-16,2816,97103
2021-05-16,2929,101248
2021-05-16,3060,95739
2021-05-16,3357,97753
2021-05-16,3380,159945
2021-05-16,3386,120038
2021-05-16,3516,94704
2021-05-16,3519,105269
2021-05-16,4415,146567
2021-05-17,414,114326
2021-05-17,415,113262
2021-05-17,416,116090
2021-05-17,849,155118
2021-05-17,855,130878
2021-05-17,1359,135530
2021-05-17,2101,115897
2021-05-17,2404,131301
2021-05-17,2405,122802
2021-05-17,2438,85870
2021-05-17,2487,123012
2021-05-17,2816,120273
2021-05-17,2929,102452
2021-05-17,3060,104675
2021-05-17,3357,121130
2021-05-17,3380,171998
2021-05-17,3386,124043
2021-05-17,3516,115410
2021-05-17,3519,121899
2021-05-17,4415,163424
2021-05-18,414,114626
2021-05-18,415,114883
2021-05-18,416,118084
2021-05-18,849,161357
2021-05-18,855,127645
2021-05-18,1359,140329
2021-05-18,2101,123400
2021-05-18,2404,129957
2021-05-18,2405,121799
2021-05-18,2438,91551
2021-05-18,2487,127069
2021-05-18,2816,124290
2021-05-18,2929,116355
2021-05-18,3060,106558
2021-05-18,3357,124702
2021-05-18,3380,176156
2021-05-18,3386,127057
2021-05-18,3516,119669
2021-05-18,3519,127423
2021-05-18,4415,164830
2021-05-19,414,115195
2021-05-19,415,115843
2021-05-19,416,120390
2021-05-19,849,166981
2021-05-19,855,131252
2021-05-19,1359,140707
2021-05-19,2101,125612
2021-05-19,2404,132418
2021-05-19,2405,123315
2021-05-19,2438,93733
2021-05-19,2487,129526
2021-05-19,2816,127669
2021-05-19,2929,127776
2021-05-19,3060,107479
2021-05-19,3357,125520
2021-05-19,3380,180938
2021-05-19,3386,127963
2021-05-19,3516,120969
2021-05-19,3519,129266
2021-05-19,4415,165268
2021-05-20,414,117632
2021-05-20,415,118424
2021-05-20,416,121723
2021-05-20,849,158056
2021-05-20,855,130977
2021-05-20,1359,135478
2021-05-20,2101,128455
2021-05-20,2404,133206
2021-05-20,2405,127829
2021-05-20,2438,93628
2021-05-20,2487,130916
2021-05-20,2816,129173
2021-05-20,2929,125708
2021-05-20,3060,105680
2021-05-20,3357,128336
2021-05-20,3380,185592
2021-05-20,3386,132918
2021-05-20,3516,121896
2021-05-20,3519,131367
2021-05-20,4415,167000
2021-05-21,414,120520
2021-05-21,415,120564
2021-05-21,416,123752
2021-05-21,849,166435
2021-05-21,855,131728
2021-05-21,1359,137987
2021-05-21,2101,133937
2021-05-21,2404,136424
2021-05-21,2405,127836
2021-05-21,2438,105280
2021-05-21,2487,135708
2021-05-21,2816,133639
2021-05-21,2929,130463
2021-05-21,3060,112612
2021-05-21,3357,132739
2021-05-21,3380,191761
2021-05-21,3386,136885
2021-05-21,3516,125780
2021-05-21,3519,135843
2021-05-21,4415,175134
2021-05-22,414,121709
2021-05-22,415,117838
2021-05-22,416,119343
2021-05-22,849,158696
2021-05-22,855,113081
2021-05-22,1359,134575
2021-05-22,2101,128904
2021-05-22,2404,130816
2021-05-22,2405,123042
