count_date,total_volume
2015-11-04,121358416
2015-11-05,122773947
2015-11-06,128492051
2015-11-07,109133783
2015-11-08,93869375
2015-11-09,119909642
2015-11-10,122659635
2015-11-11,125430001
2015-11-12,128248911
2015-11-13,132044004
2015-11-14,112459123
2015-11-15,95827124
2015-11-16,120308513
2015-11-17,123834433
2015-11-18,127444053
2015-11-19,129144711
2015-11-20,131796227
2015-11-21,112819621
2015-11-22,96673055
2015-11-23,119997106
2015-11-24,124723753
2015-11-25,126287654
2015-11-26,128721675
2015-11-27,132700623
2015-11-28,113602094
2015-11-29,95956314
2015-11-30,67984812
2015-12-01,123803694
2015-12-02,127321292
2015-12-03,129943350
2015-12-04,134707106
2015-12-05,115708031
2015-12-06,99900286
2015-12-07,121572246
2015-12-08,125703802
2015-12-09,128798718
2015-12-10,131155347
2015-12-11,133465749
2015-12-12,115159370
2015-12-13,99635365
2015-12-14,110884439
2015-12-15,127057435
2015-12-16,130058150
2015-12-17,132460752
2015-12-18,132942194
2015-12-19,10343465
2015-12-20,92951088
2015-12-21,125118516
2015-12-22,127992103
2015-12-23,128504046
2015-12-24,115296277
2015-12-25,74926405
2015-12-26,81768709
2015-12-27,82498533
2015-12-28,81894493
2015-12-29,95148317
2015-12-30,96198529
2015-12-31,32595269
2016-01-01,72013236
2016-01-02,83182850
2016-01-03,79034970
2016-01-04,97526484
2016-01-05,101028812
2016-01-06,104507877
2016-01-07,106984460
2016-01-08,109895339
2016-01-09,95570460
2016-01-10,86401394
2016-01-11,105153355
2016-01-12,111935638
2016-01-13,108398819
2016-01-14,116164873
2016-01-15,119885180
2016-01-16,102491301
2016-01-17,90123211
2016-01-18,112962537
2016-01-19,116107799
2016-01-20,119089361
2016-01-21,121690456
2016-01-23,101181943
2016-01-24,87028544
2016-01-25,109859756
2016-01-26,83024461
2016-01-27,120377321
2016-01-28,122872402
2016-01-29,126157754
2016-01-30,107111747
2016-01-31,89740177
2016-02-01,119148539
2016-02-02,122054328
2016-02-03,122899950
2016-02-04,126015834
2016-02-05,130843707
2016-02-06,111562113
2016-02-07,94635848
2016-02-08,118298768
2016-02-09,122786832
2016-02-10,125022711
2016-02-11,127654118
2016-02-12,131866334
2016-02-13,113046129
2016-02-14,96332968
2016-02-15,120411687
2016-02-16,123201147
2016-02-17,124746708
2016-02-18,127157850
2016-02-19,130784846
2016-02-20,111412516
2016-02-21,96625274
2016-02-22,119058699
2016-02-23,121033907
2016-02-24,125373552
2016-02-25,128206385
2016-02-26,132349756
2016-02-27,113050538
2016-02-28,96791323
2016-02-29,121435935
2016-03-01,124844603
2016-03-02,126266748
2016-03-03,129004629
2016-03-04,131795354
2016-03-05,112823393
2016-03-06,96139913
2016-03-07,121495597
2016-03-08,124631512
2016-03-09,126438069
2016-03-10,127686599
2016-03-11,131942991
2016-03-12,105384332
2016-03-13,91868267
2016-03-14,86204953
2016-03-15,124059315
2016-03-16,127626943
2016-03-17,129761023
2016-03-18,130416362
2016-03-19,112863211
2016-03-20,97747642
2016-03-21,122305821
2016-03-22,126583153
2016-03-23,129753321
2016-03-24,135038183
2016-03-25,76137790
2016-03-26,91397100
2016-03-27,80683238
2016-03-28,79869927
2016-03-29,112664007
2016-03-30,117935406
2016-03-31,121717593
2016-04-01,124551891
2016-04-02,105816685
2016-04-03,93078509
2016-04-04,115723611
2016-04-05,120362480
2016-04-06,119019278
2016-04-07,124617732
2016-04-08,127642765
2016-04-09,109045691
2016-04-10,92694031
2016-04-11,117686061
2016-04-12,123078979
2016-04-13,125638836
2016-04-14,127612090
2016-04-15,131755096
2016-04-16,112536815
2016-04-17,96852238
2016-04-18,119996020
2016-04-19,123749289
2016-04-20,126320021
2016-04-21,127358504
2016-04-22,130638349
2016-04-23,106278858
2016-04-24,94867539
2016-04-25,82071659
2016-04-26,121696080
2016-04-27,125666752
2016-04-28,128031993
2016-04-29,129553712
2016-04-30,112679852
2016-05-01,91761150
2016-05-02,118799216
2016-05-03,118870014
2016-05-04,125196749
2016-05-05,128075878
2016-05-06,132155535
2016-05-07,115902223
2016-05-08,94817253
2016-05-09,114790893
2016-05-10,120755581
2016-05-11,123760303
2016-05-12,126498970
2016-05-13,131136883
2016-05-14,113261280
2016-05-15,94755021
2016-05-16,118294334
