capability,relative_path,filename,rows_estimate,size_mb
traffic volume analytics,charts\time_bin_profile_aggregated.csv,time_bin_profile_aggregated.csv,96,0.004
15-minute / time-of-day analytics,charts\time_bin_profile_aggregated.csv,time_bin_profile_aggregated.csv,96,0.004
traffic volume analytics,charts\top_20_busiest_scats_sites_named.csv,top_20_busiest_scats_sites_named.csv,20,0.001
SCATS site-level analytics,charts\top_20_busiest_scats_sites_named.csv,top_20_busiest_scats_sites_named.csv,20,0.001
mapping / GIS analysis,charts\top_20_busiest_scats_sites_named.csv,top_20_busiest_scats_sites_named.csv,20,0.001
traffic volume analytics,charts\top_50_busiest_days.csv,top_50_busiest_days.csv,50,0.002
day-of-week / weekday-weekend analytics,charts\top_50_busiest_days.csv,top_50_busiest_days.csv,50,0.002
traffic volume analytics,charts\yearly_growth_from_monthly.csv,yearly_growth_from_monthly.csv,12,0.0
yearly trend analytics,charts\yearly_growth_from_monthly.csv,yearly_growth_from_monthly.csv,12,0.0
traffic volume analytics,charts\yearly_totals_from_monthly.csv,yearly_totals_from_monthly.csv,13,0.0
yearly trend analytics,charts\yearly_totals_from_monthly.csv,yearly_totals_from_monthly.csv,13,0.0
traffic volume analytics,chunked_busiest_day_monthly.csv,chunked_busiest_day_monthly.csv,4438,0.316
monthly / seasonal analytics,chunked_busiest_day_monthly.csv,chunked_busiest_day_monthly.csv,4438,0.316
traffic volume analytics,chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,595055,37.677
monthly / seasonal analytics,chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,595055,37.677
SCATS site-level analytics,chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,595055,37.677
site-by-month trend analysis,chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,595055,37.677
"growth, volatility, concentration and ranking analysis",chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,595055,37.677
traffic volume analytics,chunked_busiest_time_bin_monthly.csv,chunked_busiest_time_bin_monthly.csv,14113,1.157
15-minute / time-of-day analytics,chunked_busiest_time_bin_monthly.csv,chunked_busiest_time_bin_monthly.csv,14113,1.157
monthly / seasonal analytics,chunked_busiest_time_bin_monthly.csv,chunked_busiest_time_bin_monthly.csv,14113,1.157
traffic volume analytics,chunked_peak_shares_monthly.csv,chunked_peak_shares_monthly.csv,148,0.015
monthly / seasonal analytics,chunked_peak_shares_monthly.csv,chunked_peak_shares_monthly.csv,148,0.015
traffic volume analytics,chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,148,0.009
monthly / seasonal analytics,chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,148,0.009
traffic volume analytics,daily_totals.csv,daily_totals.csv,4438,0.314
monthly / seasonal analytics,daily_totals.csv,daily_totals.csv,4438,0.314
traffic volume analytics,day_of_week_charts\day_of_week_final_summary.csv,day_of_week_final_summary.csv,7,0.0
day-of-week / weekday-weekend analytics,day_of_week_charts\day_of_week_final_summary.csv,day_of_week_final_summary.csv,7,0.0
traffic volume analytics,day_of_week_charts_v2\v2_day_summary.csv,v2_day_summary.csv,7,0.0
day-of-week / weekday-weekend analytics,day_of_week_charts_v2\v2_day_summary.csv,v2_day_summary.csv,7,0.0
traffic volume analytics,day_of_week_charts_v2\v2_yearly_day_metrics.csv,v2_yearly_day_metrics.csv,13,0.002
day-of-week / weekday-weekend analytics,day_of_week_charts_v2\v2_yearly_day_metrics.csv,v2_yearly_day_metrics.csv,13,0.002
yearly trend analytics,day_of_week_charts_v2\v2_yearly_day_metrics.csv,v2_yearly_day_metrics.csv,13,0.002
traffic volume analytics,day_of_week_profile.csv,day_of_week_profile.csv,1030,0.114
day-of-week / weekday-weekend analytics,day_of_week_profile.csv,day_of_week_profile.csv,1030,0.114
monthly / seasonal analytics,day_of_week_profile.csv,day_of_week_profile.csv,1030,0.114
traffic volume analytics,didntwork\chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,23,0.002
monthly / seasonal analytics,didntwork\chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,23,0.002
traffic volume analytics,didntworkagainagain\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,10309,0.64
monthly / seasonal analytics,didntworkagainagain\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,10309,0.64
