scats_site,time_bin,avg_15m_volume
3381,01:45,10.700878440558856
3381,02:00,10.201839781505
3381,02:15,9.63725868402073
3381,02:30,9.025953558554782
3381,02:45,8.62769802228692
3381,03:00,8.395024576186177
3381,03:15,8.562978566890694
3381,03:30,8.149801968615785
3381,03:45,7.775117857501087
3381,04:00,7.880221725047584
3381,04:15,8.506529026232844
3381,04:30,9.022429376646766
3381,04:45,9.771467151216097
3381,05:00,11.55540367079534
3381,05:15,16.37886520564395
3381,05:30,23.102105456182173
3381,05:45,29.72332200226621
3381,06:00,37.526461374391786
3381,06:15,48.11730464515053
3381,06:30,52.38323692676991
3381,06:45,50.49999165902077
3381,07:00,49.73852361974954
3381,07:15,52.11048508084681
3381,07:30,53.68717615501241
3381,07:45,53.21878858668447
3381,08:00,52.0817984651318
3381,08:15,52.45852038517381
3381,08:30,54.3516732841747
3381,08:45,55.129969623126485
3381,09:00,54.73177122448639
3381,09:15,56.835555629724816
3381,09:30,56.54642547226487
3381,09:45,54.72822421794144
3381,10:00,53.885114835091464
3381,10:15,55.39343168012816
3381,10:30,56.4811917193521
3381,10:45,56.22833633753922
3381,11:00,55.8845088287326
3381,11:15,57.69260057111367
3381,11:30,58.8829037858049
3381,11:45,58.3922881667279
3381,12:00,58.69858919776275
3381,12:15,59.95348100210161
3381,12:30,60.15902834548458
3381,12:45,59.04259827804845
3381,13:00,58.6025025025025
3381,13:15,59.87266661106014
3381,13:30,60.228735919899876
3381,13:45,59.25201135035887
3381,14:00,59.37665804621673
3381,14:15,61.66354999749554
3381,14:30,63.16433006208692
3381,14:45,63.645463190030526
3381,15:00,64.77805769198686
3381,15:15,67.17749307710272
3381,15:30,68.50325980024344
3381,15:45,68.72242159202817
3381,16:00,69.49948217686166
3381,16:15,70.76118580375783
3381,16:30,71.10009518561195
3381,16:45,70.79697389735968
3381,17:00,71.04655667624073
3381,17:15,72.64990147947768
3381,17:30,72.02154863046853
3381,17:45,70.30349454290578
3381,18:00,68.50630332782313
3381,18:15,67.46089003138145
3381,18:30,64.39634991400759
3381,18:45,60.60627160246456
3381,19:00,55.08908146738132
3381,19:15,52.08737701905891
3381,19:30,48.31785857371795
3381,19:45,45.43288192763037
3381,20:00,42.81725888324873
3381,20:15,42.5200193924804
3381,20:30,41.18602863778383
3381,20:45,40.10317447050367
3381,21:00,40.401964064643494
3381,21:15,41.44492426144447
3381,21:30,40.31794511143484
3381,21:45,40.03324962330487
3381,22:00,39.539578101456556
3381,22:15,39.42042373732303
3381,22:30,37.0832356977873
3381,22:45,34.4709989618566
3381,23:00,32.45039599484286
3381,23:15,30.299397287795077
3381,23:30,26.994714304830723
3381,23:45,23.747179160946864
3382,00:00,21.09782956534834
3382,00:15,19.067505225299865
3382,00:30,16.788531410606375
3382,00:45,14.8613496008435
3382,01:00,13.47724148321124
3382,01:15,12.523178185237423
3382,01:30,11.470025198390312
3382,01:45,10.385430014321248
3382,02:00,9.777211269733364
3382,02:15,9.169592079656885
3382,02:30,8.580152527655075
3382,02:45,8.200568802501225
3382,03:00,7.988388942208171
3382,03:15,8.223846892113137
3382,03:30,7.762133182844244
3382,03:45,7.532885451363406
3382,04:00,7.513012900071458
3382,04:15,8.139562422465321
3382,04:30,8.694459589028218
3382,04:45,9.58489289740699
3382,05:00,11.27228485531755
3382,05:15,15.955768002704632
3382,05:30,22.55285789394622
3382,05:45,29.106365803750773
3382,06:00,36.25970294984697
3382,06:15,45.903971892379374
3382,06:30,50.980509238395676
3382,06:45,50.86559260928346
3382,07:00,52.74160405709993
3382,07:15,56.61587861944643
3382,07:30,59.76689341551413
3382,07:45,60.70321001600301
3382,08:00,59.58422756880907
3382,08:15,60.35515917814405
3382,08:30,62.36362268409668
3382,08:45,63.26074935108904
3382,09:00,58.595174514818716
3382,09:15,59.76938265104646
3382,09:30,58.56520185108544
3382,09:45,57.44759414619465
3382,10:00,56.45464632976623
3382,10:15,58.079744216663535
3382,10:30,59.18223226049313
3382,10:45,59.611655239960825
3382,11:00,59.060279546396416
3382,11:15,60.78617157490397
3382,11:30,61.95014121634344
3382,11:45,61.96035126069423
3382,12:00,62.227430228616626
3382,12:15,63.60652526089741
3382,12:30,63.593462081959494
3382,12:45,62.87328321935229
3382,13:00,62.19865890640598
3382,13:15,63.47535118442361
3382,13:30,63.777363184079604
3382,13:45,62.961971671814965
3382,14:00,62.820195096229895
3382,14:15,64.99879409104612
3382,14:30,66.3817387538366
3382,14:45,66.9544513067711
3382,15:00,67.7855906045321
3382,15:15,69.93915269230045
3382,15:30,70.73051606108478
3382,15:45,71.29770848632059
3382,16:00,73.8736270982084
3382,16:15,75.71352165725047
3382,16:30,76.05893987341773
3382,16:45,75.98725874547648
3382,17:00,76.64855038336191
3382,17:15,78.51664186554653
3382,17:30,77.6019267677718
3382,17:45,76.04320674153077
3382,18:00,73.99410790256391
3382,18:15,72.39880683529057
3382,18:30,67.05919196478953
3382,18:45,63.609747373969356
3382,19:00,58.17100259779376
3382,19:15,55.11480993601806
3382,19:30,51.02014521104507
3382,19:45,47.96525517786264
3382,20:00,44.99183581331477
3382,20:15,44.43730938664859
3382,20:30,42.86143739176267
3382,20:45,41.62474339416539
3382,21:00,41.80531523890303
3382,21:15,42.86241749952857
3382,21:30,41.603978879879314
3382,21:45,41.042256178079604
3382,22:00,40.25568278281866
3382,22:15,39.8362559867255
3382,22:30,37.22033323281062
3382,22:45,34.38584948344771
3382,23:00,32.05730707622727
3382,23:15,29.781222303935433
3382,23:30,26.39811345621599
3382,23:45,23.168590963027142
3383,00:00,21.703098967010995
3383,00:15,19.55095918820828
3383,00:30,17.315135465471585
3383,00:45,15.31009904656114
3383,01:00,13.878636910825076
3383,01:15,12.815209547599222
3383,01:30,11.797410524368816
3383,01:45,10.676509818451278
3383,02:00,10.204882754526565
3383,02:15,9.615416039960634
3383,02:30,9.049059825886808
3383,02:45,8.641262666493766
3383,03:00,8.453713820114443
3383,03:15,8.637830536074462
3383,03:30,8.204124322022917
3383,03:45,7.884388997889904
3383,04:00,8.00786032661969
3383,04:15,8.719207085929844
3383,04:30,9.506129694347369
3383,04:45,10.658133086876155
3383,05:00,12.17394600591716
3383,05:15,17.769082840236685
3383,05:30,25.117948243992608
3383,05:45,32.77314232902033
3383,06:00,40.27025878003697
3383,06:15,53.370913461538464
3383,06:30,61.485323764958295
3383,06:45,58.110021463992304
3383,07:00,52.48722928110377
3383,07:15,54.628747828015825
3383,07:30,57.592598754135935
3383,07:45,58.859183333641695
3383,08:00,57.95029239766082
3383,08:15,59.126621154095204
3383,08:30,61.141694263038126
3383,08:45,62.82909999075016
3383,09:00,60.69019919729225
3383,09:15,61.11257396449704
3383,09:30,58.356047574126485
3383,09:45,58.10714417847497
3383,10:00,56.18198801420539
3383,10:15,57.24605742387546
3383,10:30,58.09757630659444
3383,10:45,58.77169811320755
3383,11:00,58.147419056429236
3383,11:15,59.15687399374502
3383,11:30,60.30319296621934
3383,11:45,60.53542680557354
3383,12:00,60.509884785382724
3383,12:15,61.367520893425045
3383,12:30,61.69186379862023
3383,12:45,61.21586726105696
3383,13:00,60.62296992342126
3383,13:15,61.54728567465089
3383,13:30,62.053174955595026
3383,13:45,61.61424843133989
3383,14:00,61.2820806896169
3383,14:15,63.32126269822179
3383,14:30,64.71275788694606
3383,14:45,65.13465522343888
3383,15:00,65.36465866424992
3383,15:15,67.06151512909669
3383,15:30,68.17845192538776
3383,15:45,68.57774900582632
3383,16:00,69.03731937017781
3383,16:15,70.8891191326389
3383,16:30,71.3003570833873
